product_id,product_length,product_depth,product_width,cluster_id,hierarchy5_id
P0061,9.3,32.0,19.2,cluster_9,H0105011401
P0062,,,,cluster_0,H0312050709
P0063,7.5,7.5,7.5,cluster_9,H0312010012
P0064,7.0,10.0,7.0,cluster_0,H0004010517
P0065,8.5,33.0,32.0,cluster_0,H0313020905
P0066,0.3,15.5,8.5,cluster_0,H0313051502
P0067,5.4,20.5,7.5,cluster_4,H0106001333
P0068,13.0,9.0,13.0,cluster_8,H0000030001
P0069,3.0,12.0,8.5,cluster_0,H0312010130
P0070,8.7,14.0,8.7,cluster_0,H0002010001
P0071,4.9,16.5,6.5,cluster_0,H0108070022
P0072,3.0,12.0,12.0,cluster_0,H0314020001
P0073,2.0,30.0,30.0,cluster_5,H0312040006
P0074,9.0,6.0,9.0,,H0004021202
P0075,6.0,26.7,26.0,cluster_0,H0313020001
P0076,2.0,10.0,2.0,cluster_0,H0313090044
P0077,3.0,23.5,17.0,cluster_0,H0311100003
P0078,7.5,11.5,7.5,cluster_2,H0003120501
P0079,2.0,13.0,6.0,cluster_5,H0003160001
P0080,2.0,24.0,2.0,cluster_0,H0312040003
P0082,3.4,17.6,8.1,cluster_0,H0108031101
P0083,2.2,7.7,10.6,cluster_6,H0002010901
P0084,4.0,14.0,12.0,cluster_0,H0313020901
P0085,12.0,26.0,11.0,cluster_0,H0312071015
P0086,39.0,34.0,49.0,,H0315080029
P0087,2.0,5.7,19.0,cluster_4,H0003120002
P0088,18.0,24.0,8.0,cluster_9,H0002000926
P0089,2.0,15.0,8.0,cluster_0,H0315121500
P0090,1.0,5.0,6.0,cluster_0,H0312110917
P0091,2.0,27.0,21.0,cluster_0,H0313070019
P0092,6.0,15.0,8.0,cluster_6,H0001021022
P0093,7.0,18.0,7.0,cluster_0,H0001010512
P0094,3.8,14.3,3.8,cluster_0,H0108070032
P0095,40.0,100.0,50.0,cluster_6,H0314010006
P0096,3.4,14.5,4.4,cluster_0,H0108110038
P0097,1.0,19.2,9.0,cluster_4,H0003150102
P0098,4.0,16.0,12.5,cluster_0,H0313021507
P0099,3.0,11.3,10.0,cluster_0,H0313021001
P0100,2.0,27.0,21.0,cluster_0,H0313070009
P0101,4.5,17.6,4.5,cluster_0,H0108050033
P0102,7.0,27.0,40.0,cluster_0,H0313020001
P0103,9.0,30.0,9.0,cluster_0,H0000030001
P0104,3.0,20.0,11.0,cluster_0,H0311110124
P0105,11.0,13.0,16.0,cluster_0,H0312061042
P0108,10.0,25.0,32.0,cluster_0,H0313020501
P0109,7.0,18.0,11.0,cluster_0,H0107000922
P0110,6.2,16.8,6.2,cluster_0,H0000040501
P0111,7.8,9.5,9.4,cluster_0,H0001050017
P0112,17.5,9.5,24.0,cluster_0,H0314010203
P0113,2.0,17.0,6.0,cluster_0,H0315041140
P0114,2.0,7.5,9.0,cluster_0,H0003120906
P0115,3.0,14.0,5.5,cluster_0,H0001050001
P0116,0.5,14.0,6.0,cluster_3,H0002000926
P0117,5.0,10.8,5.6,cluster_0,H0108050006
P0118,5.0,28.0,16.0,,H0311090001
P0119,15.0,15.0,15.0,cluster_0,H0000030001
P0122,5.0,28.0,16.0,cluster_6,H0311090001
P0123,5.5,22.5,19.0,,H0313021002
P0124,17.0,24.0,17.0,cluster_0,H0317021212
P0125,2.0,5.0,9.0,cluster_5,H0003160001
P0126,4.0,16.0,5.0,cluster_0,H0108070906
P0127,10.0,30.0,20.0,cluster_0,H0311010424
P0128,9.0,14.0,9.0,cluster_0,H0312071013
P0129,22.2,22.2,44.4,cluster_0,H0107011026
P0130,2.5,17.0,13.0,cluster_0,H0313030205
P0131,1.0,12.0,11.0,cluster_6,H0003160922
P0132,5.0,28.0,16.0,cluster_0,H0311090103
P0133,9.0,28.0,20.0,,H0313030201
P0134,6.0,30.0,10.0,cluster_0,H0314050003
P0135,3.0,15.0,55.0,cluster_0,H0315061244
P0136,3.3,25.9,8.5,cluster_0,H0108011006
P0137,23.6,24.1,8.3,cluster_0,H0315020035
P0138,5.0,47.0,28.5,cluster_3,H0312050709
P0139,4.0,17.0,11.0,,H0315061202
P0140,2.0,27.0,21.0,cluster_0,H0313070008
P0141,6.0,20.0,12.0,cluster_6,H0001021017
P0142,7.0,12.0,12.0,cluster_0,H0311090001
P0143,3.0,26.0,13.0,cluster_0,H0311130529
P0144,4.5,21.0,14.3,cluster_3,H0003110006
P0145,4.0,12.5,4.0,cluster_0,H0001050001
P0146,3.6,3.5,20.0,cluster_0,H0312050709
P0147,12.5,37.0,12.5,cluster_9,H0106011202
P0148,6.0,7.0,12.2,cluster_0,H0002000032
P0149,1.8,5.5,16.3,cluster_8,H0003120506
P0150,6.0,14.0,14.0,cluster_0,H0313020905
P0151,2.0,15.0,11.5,cluster_0,H0108060006
P0152,5.0,19.0,13.0,cluster_0,H0003120001
P0154,3.0,20.0,12.0,cluster_6,H0001050017
P0155,,,,cluster_0,H0004021201
P0156,5.0,20.0,8.0,cluster_0,H0108060006
P0157,6.0,6.0,15.0,cluster_2,H0003120002
P0158,15.0,8.0,2.0,cluster_0,H0313051830
P0159,20.0,28.0,25.0,cluster_0,H0311080102
P0160,30.0,1.0,21.0,cluster_0,H0313052008
P0161,7.0,6.0,7.0,cluster_0,H0108081512
P0162,2.0,8.8,3.6,cluster_0,H0108100901
P0163,2.0,13.0,4.0,cluster_0,H0314050003
P0164,4.4,15.8,9.0,cluster_0,H0108070033
P0165,1.0,13.0,12.0,cluster_3,H0003160922
P0166,5.0,19.0,13.0,cluster_0,H0001021017
P0167,20.0,33.5,21.8,cluster_0,H0107020504
P0169,8.0,19.0,12.0,cluster_4,H0313030301
P0170,23.7,11.7,22.3,cluster_0,H0312071007
P0171,4.5,17.0,4.5,cluster_0,H0108050032
P0172,28.0,4.5,28.0,cluster_0,H0314020004
P0173,2.0,27.0,21.0,cluster_0,H0313070010
P0174,3.0,17.0,9.0,cluster_0,H0004010506
P0175,2.0,20.0,10.0,cluster_0,H0313090044
P0176,,,,cluster_9,H0210020008
P0177,1.0,12.0,8.0,cluster_0,H0106011422
P0178,3.5,16.5,4.5,cluster_0,H0108061306
P0179,7.0,14.0,12.0,cluster_0,H0312071012
P0180,22.0,59.0,29.0,cluster_0,H0313021301
P0181,4.1,17.3,10.1,cluster_0,H0315080935
P0182,5.0,37.0,27.0,cluster_4,H0105010006
P0183,14.2,3.8,11.0,cluster_0,H0106011112
P0184,6.0,30.0,10.0,cluster_6,H0313020501
P0185,1.0,20.0,30.0,cluster_0,H0313070501
P0186,8.0,16.0,8.0,cluster_8,H0312040900
P0187,9.0,25.0,19.0,cluster_0,H0313030201
P0188,10.0,30.0,25.0,cluster_9,H0311130527
P0189,4.0,14.7,11.0,cluster_4,H0004010501
P0190,6.0,19.0,14.0,cluster_0,H0315080935
P0192,15.0,15.0,40.0,cluster_0,H0315080002
P0193,6.0,3.0,6.0,cluster_0,H0108091317
P0194,6.0,7.0,9.0,cluster_0,H0312010002
P0195,6.5,7.5,12.0,cluster_0,H0002000032
P0196,5.0,23.0,20.0,cluster_0,H0314050003
P0197,6.0,18.0,10.0,cluster_2,H0004010517
P0198,1.0,16.0,3.0,cluster_0,H0002000926
P0199,15.0,24.9,9.3,,H0001041317
P0200,4.0,13.5,9.0,,H0105030901
P0201,3.0,14.5,4.9,cluster_8,H0108070906
P0202,1.0,1.0,1.0,cluster_0,H0000050501
P0203,1.0,1.0,1.0,cluster_0,H0004031022
P0204,1.6,24.0,7.0,cluster_0,H0313051832
P0205,4.0,17.5,10.0,cluster_0,H0315020002
P0206,6.0,12.0,6.0,cluster_8,H0314080102
P0208,1.0,1.0,1.0,cluster_0,H0313021508
P0209,6.0,30.4,20.0,cluster_0,H0313021002
P0210,5.2,33.5,12.0,cluster_7,H0312050405
P0211,14.0,7.2,15.7,cluster_0,H0107000901
P0212,6.5,12.0,18.5,cluster_0,H0002000022
P0213,1.5,24.0,7.0,cluster_0,H0313051826
P0214,,,,cluster_0,H0313052002
P0215,3.0,12.0,10.0,cluster_0,H0107021107
P0216,1.0,1.0,1.0,cluster_0,H0108090001
P0217,8.0,6.0,14.0,cluster_0,H0107021212
P0218,7.5,15.0,13.0,cluster_6,H0108061501
P0219,8.7,12.5,8.7,cluster_9,H0002011001
P0220,5.0,17.0,13.0,cluster_4,H0001021012
P0221,2.7,12.0,6.0,cluster_9,H0108011006
P0222,14.5,20.5,18.0,cluster_0,H0313020905
P0223,5.3,23.7,11.1,cluster_0,H0105030901
P0224,13.0,19.0,15.0,cluster_0,H0311080103
P0225,4.0,8.0,4.0,cluster_0,H0108061601
P0226,6.5,7.0,6.5,cluster_0,H0107021003
P0227,2.0,27.0,21.0,cluster_0,H0313070001
P0228,5.0,28.0,16.0,cluster_0,H0311090003
P0229,5.6,8.4,5.6,cluster_0,H0001050017
P0230,2.0,36.0,19.5,,H0107010906
P0231,3.7,18.9,7.7,cluster_0,H0107020004
P0232,2.3,17.0,7.3,cluster_0,H0315041140
P0233,1.0,56.0,30.0,cluster_0,H0317021509
P0234,10.9,35.1,23.2,cluster_0,H0313020501
P0235,15.0,31.2,11.8,,H0001041317
P0237,24.0,77.0,2.0,cluster_0,H0317021204
P0238,6.0,20.0,6.0,cluster_3,H0000030001
P0239,4.0,18.0,14.0,cluster_0,H0002010006
P0240,9.4,14.0,8.0,cluster_0,H0313021002
P0241,5.0,13.8,5.0,cluster_9,H0001050001
P0242,4.3,17.5,4.3,cluster_0,H0108050033
P0243,1.0,1.0,1.0,cluster_0,H0004031012
P0245,1.5,7.6,16.5,cluster_4,H0003120001
P0246,1.6,21.0,14.0,cluster_0,H0313070009
P0247,5.0,28.0,15.0,cluster_4,H0313030301
P0249,7.7,25.5,7.7,cluster_8,H0000040501
P0250,4.0,16.3,10.8,,H0106001333
P0251,8.0,18.0,13.0,cluster_0,H0107021101
P0252,2.0,14.0,7.0,cluster_8,H0313020001
P0253,4.0,20.0,6.0,,H0108071022
P0254,3.0,5.0,17.0,cluster_0,H0108011006
P0255,6.0,9.0,7.5,cluster_6,H0002061001
P0256,5.8,21.1,5.8,cluster_0,H0108070901
P0257,6.0,7.0,13.0,cluster_0,H0002080036
P0258,6.0,19.0,13.0,cluster_0,H0107021002
P0259,,,,cluster_9,H0004021202
P0260,4.5,16.0,8.0,cluster_0,H0002060001
P0261,2.0,21.5,13.5,cluster_0,H0003140912
P0263,25.0,18.0,2.0,cluster_2,H0311100002
P0264,4.0,4.0,15.0,cluster_0,H0313051514
P0265,6.5,11.5,6.5,cluster_0,H0000040501
P0266,10.0,23.0,25.5,cluster_0,H0108050906
P0267,15.0,5.0,25.0,cluster_0,H0312050214
P0268,4.5,13.0,9.0,cluster_3,H0001010501
P0269,6.0,23.0,18.0,cluster_0,H0002020032
P0270,5.0,28.0,16.0,cluster_0,H0311090101
P0271,24.0,1.5,38.0,cluster_5,H0312091618
P0272,7.4,19.5,12.9,cluster_0,H0001021017
P0274,3.5,12.0,50.0,cluster_0,H0315121511
P0275,3.0,3.0,12.0,cluster_0,H0003150003
P0276,5.0,20.2,8.0,cluster_6,H0108071022
P0277,6.7,24.0,7.5,cluster_8,H0000040001
P0278,1.0,1.0,1.0,cluster_0,H0001000033
P0279,5.2,15.0,7.3,cluster_2,H0002020006
P0280,6.0,19.0,13.0,cluster_4,H0313030201
P0281,6.0,19.0,6.0,cluster_0,H0002080039
P0282,10.0,11.0,11.0,cluster_0,H0312061041
P0283,1.5,12.0,17.0,cluster_0,H0106011422
P0284,5.0,28.0,11.0,cluster_0,H0002000901
P0285,3.5,21.0,9.0,cluster_0,H0315080935
P0286,4.5,13.0,9.0,cluster_3,H0001010501
P0287,7.3,10.6,7.3,cluster_0,H0002010012
P0289,1.0,1.0,1.0,cluster_0,H0315020035
P0290,5.0,19.0,13.0,cluster_0,H0001021017
P0291,5.0,28.0,16.0,cluster_0,H0311090002
P0292,8.8,15.1,8.8,,H0002011006
P0293,3.0,23.5,17.0,cluster_0,H0311100003
P0294,9.0,31.0,9.0,cluster_6,H0000050001
P0295,5.0,28.0,16.0,cluster_0,H0311080503
P0296,3.5,3.0,14.0,cluster_3,H0003120906
P0297,11.5,18.0,11.5,cluster_0,H0002011006
P0298,,,,cluster_9,H0210020008
P0299,11.0,5.0,6.0,cluster_0,H0312071009
P0300,11.0,27.0,19.0,cluster_0,H0313021002
P0301,5.0,12.0,8.0,cluster_5,H0004010522
P0302,15.0,28.0,60.0,cluster_0,H0313021502
P0303,6.0,17.0,10.0,,H0001021017
P0304,3.9,15.4,8.1,cluster_0,H0108011006
P0305,14.0,35.0,14.0,cluster_0,H0001040001
P0309,30.0,31.0,42.0,cluster_0,H0107020508
P0310,5.0,15.0,10.0,cluster_0,H0313050007
P0311,1.0,20.0,30.0,cluster_9,H0313070501
P0312,6.0,10.0,8.0,cluster_0,H0312010130
P0313,11.8,24.6,9.3,cluster_0,H0105010506
P0314,3.0,18.0,10.0,cluster_0,H0107021102
P0316,1.0,1.0,1.0,cluster_0,H0004030017
P0317,3.1,19.0,8.8,cluster_0,H0313021210
P0318,3.0,14.0,10.0,cluster_3,H0004010512
P0319,7.5,21.1,4.3,,H0108071032
P0321,4.3,23.3,8.5,cluster_0,H0108031101
P0322,59.0,88.0,59.0,cluster_0,H0312060938
P0323,6.0,32.5,23.0,,H0313020501
P0324,7.5,12.5,7.5,cluster_0,H0108050901
P0325,6.0,18.5,11.0,cluster_2,H0001001001
P0326,3.0,18.0,10.0,cluster_0,H0107021102
P0327,2.0,4.0,13.0,cluster_0,H0003130001
P0328,2.0,7.0,11.0,cluster_0,H0106011422
P0329,5.0,49.5,2.5,cluster_0,H0314050602
P0330,5.0,10.0,5.0,cluster_0,H0312071004
P0331,40.6,37.0,36.5,cluster_4,H0314000104
P0332,6.9,13.2,6.9,cluster_3,H0002060006
P0333,7.5,21.0,10.5,cluster_4,H0003120004
P0334,6.0,20.0,6.0,,H0000040012
P0335,4.1,11.0,4.1,cluster_0,H0108050026
P0336,11.0,43.0,24.0,cluster_0,H0107020505
P0337,17.0,40.0,30.0,cluster_0,H0314010203
P0339,12.0,16.0,11.8,cluster_0,H0312060938
P0340,5.0,20.0,13.0,cluster_0,H0313020001
P0341,8.5,29.1,5.8,cluster_0,H0001041312
P0342,4.5,14.0,15.0,cluster_0,H0313020901
P0343,3.0,6.0,4.0,cluster_0,H0108081301
P0344,,,,cluster_0,H0209080429
P0345,7.0,23.6,8.0,cluster_0,H0000040001
P0346,9.0,12.0,9.0,cluster_3,H0001051017
P0347,4.0,9.0,9.0,cluster_3,H0105030501
P0348,7.4,15.3,12.9,cluster_0,H0001021012
P0350,2.0,15.0,10.0,cluster_7,H0003110033
P0351,1.8,11.2,9.5,cluster_0,H0108090006
P0352,5.0,20.0,15.0,cluster_0,H0314050003
P0353,4.0,22.0,7.5,cluster_4,H0108070901
P0354,5.0,28.0,16.0,cluster_3,H0311090103
P0355,30.0,5.0,28.0,cluster_0,H0315080911
P0356,2.0,6.0,10.0,cluster_3,H0003160922
P0357,1.0,1.0,1.0,,H0108031101
P0358,10.0,10.0,10.0,cluster_0,H0312050215
P0360,5.0,28.0,16.0,cluster_0,H0311090003
P0361,6.0,48.0,6.0,cluster_0,H0314040701
P0362,6.0,7.0,12.2,cluster_5,H0002000032
P0363,5.0,12.0,8.0,cluster_0,H0004010005
P0364,4.0,4.0,12.5,cluster_0,H0003120017
P0365,8.0,14.0,40.5,,H0106011209
P0366,6.8,8.5,7.0,cluster_4,H0002060017
P0367,3.0,26.5,17.0,,H0311100603
P0368,2.5,11.5,11.5,,H0312071009
P0369,7.0,8.0,13.0,cluster_0,H0002000026
P0370,2.0,21.0,11.0,cluster_5,H0313090000
P0371,6.2,16.8,6.2,cluster_9,H0000040517
P0372,2.0,7.0,2.5,cluster_9,H0314080201
P0373,5.0,18.0,14.0,cluster_6,H0002010012
P0374,27.0,26.5,25.0,cluster_0,H0315080011
P0375,1.0,1.0,1.0,cluster_0,H0314020202
P0376,2.0,13.0,8.0,cluster_0,H0001051017
P0377,2.0,27.0,21.0,cluster_0,H0313070003
P0379,8.0,13.0,8.0,cluster_4,H0312040900
P0380,2.5,16.4,7.0,,H0106001345
P0381,2.0,9.0,3.0,cluster_6,H0108061601
P0382,3.2,13.7,12.7,cluster_4,H0105000012
P0383,24.0,8.0,18.0,cluster_0,H0311080502
P0384,1.0,1.0,1.0,cluster_0,H0004030906
P0385,3.8,15.4,6.6,,H0107020004
P0386,9.2,16.0,6.5,cluster_0,H0108070012
P0387,2.0,10.0,8.0,,H0107021102
P0388,1.0,20.0,30.0,cluster_3,H0313070501
P0389,10.2,31.7,10.2,cluster_4,H0002020512
P0390,4.5,17.0,4.5,cluster_0,H0108050032
P0391,6.8,22.0,14.0,cluster_5,H0315080935
P0392,6.0,32.5,40.5,cluster_0,H0313020501
P0393,7.0,12.0,7.0,cluster_4,H0002011012
P0394,14.0,6.0,3.0,cluster_4,H0003120012
P0395,14.0,23.0,13.0,cluster_0,H0107020507
P0396,3.0,7.0,3.0,cluster_0,H0108061601
P0397,1.0,23.0,4.0,cluster_0,H0108010917
P0398,5.0,5.0,5.0,cluster_0,H0312091006
P0399,2.3,7.5,4.0,cluster_0,H0108071022
P0400,2.0,27.0,21.0,cluster_0,H0313070010
P0401,2.0,22.0,6.0,,H0315041131
P0402,2.8,7.3,7.0,cluster_0,H0105030517
P0403,1.0,5.1,9.2,cluster_0,H0003160001
P0405,5.2,20.4,10.2,cluster_0,H0108090001
P0406,4.5,4.5,31.0,cluster_0,H0106011301
P0407,5.0,28.0,16.0,,H0311080501
P0408,6.5,28.2,19.0,cluster_0,H0105000026
P0409,3.0,14.0,6.0,,H0001050001
P0410,16.5,1.0,8.0,,H0004010501
P0411,9.7,17.3,12.5,cluster_0,H0107000922
P0412,4.0,11.3,4.0,cluster_0,H0108050026
P0413,0.0,0.0,0.0,cluster_7,H0210020302
P0414,4.6,21.8,8.6,cluster_8,H0108031101
P0415,23.0,17.0,1.0,cluster_3,H0311110124
P0416,5.0,28.0,16.0,cluster_0,H0311090203
P0417,17.0,5.0,17.0,cluster_0,H0312071017
P0418,3.0,16.0,8.0,cluster_0,H0312110928
P0419,8.0,15.0,13.0,cluster_6,H0312071004
P0420,3.0,3.0,35.0,cluster_0,H0313051515
P0421,5.0,28.0,16.0,cluster_6,H0311090203
P0422,5.0,16.0,6.0,cluster_0,H0002000017
P0423,,,,cluster_0,H0313052008
P0424,2.0,17.0,14.0,cluster_0,H0315041100
P0425,9.7,25.0,9.7,cluster_0,H0106011210
P0426,1.6,12.0,8.0,cluster_0,H0106011432
P0427,8.5,24.0,9.0,cluster_1,H0000040501
P0428,9.5,23.5,15.5,cluster_0,H0002000012
P0429,8.0,15.0,12.0,cluster_0,H0312071012
P0430,10.0,10.0,15.0,,H0107021212
P0431,5.0,21.0,11.3,cluster_9,H0004010512
P0432,13.6,7.0,14.4,cluster_0,H0312091609
P0433,24.0,10.0,34.0,cluster_0,H0312050800
P0435,1.0,4.0,10.0,cluster_0,H0106011422
P0436,5.0,25.0,15.0,cluster_8,H0004000012
P0437,9.0,23.0,13.0,cluster_0,H0312071015
P0438,1.5,14.0,10.0,cluster_0,H0003120001
P0439,2.5,17.0,13.0,cluster_0,H0313030205
P0440,5.0,5.0,5.0,cluster_3,H0313090531
P0441,6.0,11.0,6.0,cluster_9,H0002020033
P0442,7.1,16.4,7.1,cluster_4,H0001010512
P0443,2.0,22.5,9.0,,H0312110906
P0444,2.0,15.0,10.0,cluster_0,H0313020905
P0445,8.0,25.0,20.0,cluster_0,H0313030201
P0446,7.0,24.0,10.0,cluster_3,H0002080022
P0447,6.5,7.0,17.5,,H0003120003
P0448,2.0,19.0,14.0,cluster_9,H0003160922
P0450,3.3,8.6,3.3,cluster_0,H0108081412
P0451,2.0,15.0,8.0,cluster_8,H0315041121
P0452,8.0,6.0,26.5,cluster_0,H0313020903
P0453,1.0,25.0,18.0,cluster_0,H0106011307
P0454,4.5,18.5,14.0,cluster_4,H0001021012
P0455,2.1,19.0,14.0,cluster_3,H0004010501
P0456,4.0,11.0,10.0,cluster_0,H0108090012
P0457,5.0,28.0,16.0,cluster_0,H0311080101
P0458,4.0,6.5,11.0,cluster_0,H0106011307
P0459,9.5,34.5,9.5,cluster_1,H0000040501
P0460,5.0,28.0,16.0,cluster_0,H0311090101
P0461,7.0,20.0,13.0,cluster_0,H0108071032
P0462,5.0,8.5,5.0,cluster_0,H0312060938
P0463,5.0,28.0,16.0,cluster_9,H0311090003
P0464,2.3,20.0,10.5,cluster_0,H0108090006
P0465,,,,cluster_0,H0313052008
P0466,4.5,7.0,7.0,cluster_0,H0108100906
P0467,2.5,17.0,7.0,cluster_0,H0315041121
P0468,5.0,42.0,12.0,cluster_0,H0315020911
P0469,3.8,21.6,35.0,cluster_0,H0313021001
P0470,7.0,18.0,19.0,cluster_0,H0002000026
P0471,14.0,35.0,14.0,cluster_0,H0001040001
P0473,5.0,5.0,5.0,cluster_0,H0315041131
P0474,5.0,5.0,5.0,cluster_0,H0315040000
P0475,4.5,16.7,9.0,cluster_0,H0108070012
P0476,22.0,10.0,32.0,cluster_0,H0312050800
P0477,1.0,15.0,7.0,cluster_0,H0313051826
P0478,3.0,17.0,12.5,,H0003110012
P0480,5.0,15.2,9.9,cluster_9,H0108070906
P0481,5.0,24.0,16.0,cluster_9,H0314050001
P0482,,,,cluster_0,H0004021201
P0483,2.0,27.0,21.0,cluster_9,H0313070007
P0484,1.0,1.0,1.0,cluster_0,H0004030906
P0485,8.5,12.0,16.0,cluster_0,H0317021202
P0486,6.5,7.5,12.0,,H0002000017
P0487,5.0,28.0,16.0,cluster_6,H0311090203
P0489,3.3,13.0,16.0,cluster_0,H0002010006
P0490,7.1,6.6,7.1,cluster_0,H0108110038
P0491,25.0,10.0,12.0,cluster_9,H0312110917
P0492,8.0,9.0,10.0,cluster_0,H0002000012
P0493,4.0,45.0,12.0,cluster_2,H0315020946
P0494,10.0,14.0,11.0,cluster_0,H0312071007
P0495,3.0,10.0,3.0,cluster_0,H0001050001
P0496,20.0,12.0,20.0,cluster_0,H0312050800
P0497,4.0,11.0,21.0,cluster_4,H0106011307
P0498,20.0,35.0,24.0,cluster_0,H0315080028
P0499,2.5,5.8,15.5,cluster_0,H0003120002
P0500,8.0,23.0,8.0,cluster_2,H0004000017
P0501,5.8,16.6,9.0,cluster_0,H0108070012
P0502,1.5,10.0,8.5,cluster_0,H0108060032
P0503,2.7,23.0,4.5,cluster_2,H0107020015
P0504,4.5,16.7,9.0,cluster_0,H0108070012
P0505,1.0,14.0,14.0,cluster_0,H0313051901
P0506,2.5,16.5,16.5,cluster_0,H0107010906
P0507,1.0,3.5,13.5,cluster_0,H0003130001
P0508,1.0,25.0,7.0,cluster_0,H0313051817
P0509,4.4,22.0,8.8,cluster_0,H0108071032
P0510,4.9,21.3,8.4,cluster_0,H0108010012
P0511,3.5,4.0,26.0,cluster_0,H0106011303
P0512,5.0,26.0,10.0,cluster_9,H0107020004
P0513,5.0,35.0,5.0,cluster_0,H0312110906
P0514,2.0,27.0,21.0,cluster_0,H0313070005
P0515,40.0,30.0,40.0,cluster_0,H0315080002
P0516,20.0,30.0,34.0,cluster_0,H0315080027
P0517,5.0,28.0,16.0,cluster_6,H0311090003
P0518,2.0,19.0,10.5,cluster_0,H0313051514
P0519,1.0,11.0,2.5,,H0002000917
P0520,6.2,16.8,6.2,cluster_0,H0000040501
P0521,5.5,5.5,31.0,cluster_0,H0106011304
P0522,16.0,16.0,27.0,cluster_3,H0312071007
P0523,3.0,17.0,12.0,cluster_5,H0313020905
P0524,2.0,25.0,9.0,cluster_5,H0311110301
P0525,6.0,17.0,17.0,cluster_9,H0312071009
P0526,1.0,1.0,1.0,cluster_0,H0314080103
P0527,4.5,20.0,15.5,cluster_0,H0001021012
P0528,3.0,12.0,10.0,cluster_0,H0311100601
P0529,2.0,16.5,9.5,cluster_4,H0315041140
P0531,6.0,19.0,6.0,cluster_9,H0000050001
P0532,17.0,4.0,22.0,cluster_9,H0312091617
P0533,6.0,6.0,15.0,cluster_2,H0003120002
P0534,3.0,17.0,9.0,cluster_4,H0004010517
P0535,5.0,28.0,16.0,cluster_0,H0311090103
P0536,7.0,22.0,7.0,cluster_9,H0000040001
P0537,4.4,18.6,7.5,cluster_9,H0108010012
P0538,24.5,6.3,31.9,cluster_0,H0312050214
P0539,6.0,22.0,23.0,cluster_0,H0313021207
P0540,5.0,3.0,3.0,cluster_9,H0108061122
P0541,22.0,22.0,25.0,cluster_0,H0311080101
